Name,Addr
이디야커피 중계점,서울 노원구 동일로204가길 34 씨앤미빌딩 103호
이디야커피 상계동점,서울 노원구 한글비석로52길 8 1층
이디야커피 양재점,서울 서초구 남부순환로347길 38 원효빌딩 1층 1-5호
이디야커피 석관동점,서울 성북구 돌곶이로8길 22 301동 1층 109동
이디야커피 신월사거리점,서울 양천구 남부순환로 353
이디야커피 쌍문역점,서울 도봉구 도봉로117길 4
이디야커피 상암우리기술점,서울 마포구 월드컵북로56길 9 1층 102호
이디야커피 양평동2가점,서울 영등포구 선유서로25길 19
이디야커피 상암DMC점,서울 마포구 월드컵북로 396 누리꿈몰스퀘어 110호
이디야커피 성수아카데미점,서울 성동구 성수이로 118 성수아카데미타워 104호
이디야커피 만리동고개점,서울 중구 만리동2가 231-38 서울역센트럴 자이상가 1층 402동 102호
이디야커피 원효로점,서울 용산구 원효로 257
이디야커피 을지병원사거리점,서울 강남구 도산대로30길 7
이디야커피 답십리로데오점,서울 성동구 용답19가길 24
이디야커피 창동현대타운점,서울 도봉구 도봉로114길 22 1층
이디야커피 광화문트윈트리타워점,서울 종로구 율곡로 6
이디야커피 영등포그랜드점,서울 영등포구 양산로9길 15 그랜드타워 1층 101호
이디야커피 탑골공원점,서울 종로구 수표로 109-1
이디야커피 공항시장역점,서울 강서구 방화동로 37
이디야커피 구로에이스점,서울 구로구 디지털로33길 11 에이스테크노타워 8차 106호
이디야커피 돈암동점,서울 성북구 동소문로 119
이디야커피 도봉구청점,서울 도봉구 도봉로150길 43
이디야커피 낙원동점,서울 종로구 삼일대로 436-1
이디야커피 순천향병원점,"서울 용산구 대사관로 72 1층 12호, 13호"
이디야커피 금란망우점,서울 중랑구 망우로 460 1층
이디야커피 개봉북부점,서울 구로구 경인로40길 12
이디야커피 마포데시앙점,서울 마포구 독막로 320 마포데시앙 1층 104호
이디야커피 은행나무사거리점,서울 금천구 금하로 690 1층
이디야커피 강남자곡점,서울 강남구 자곡로 180 유탑유블레스 1층
이디야커피 증미한화점,서울 강서구 양천로 551-17 한화비즈메트로1차 1층
이디야커피 한성대점,서울 성북구 삼선교로10길 45
이디야커피 방학점,서울 도봉구 방학로 171
이디야커피 장위북서울꿈의숲점,"서울 성북구 돌곶이로41가길 2 1,2층"
이디야커피 광산사거리점,서울 강북구 한천로 1083 1층
이디야커피 하월곡동점,서울 성북구 오패산로 16 1층
이디야커피 강일점,"서울 강동구 아리수로93길 19 임페리얼타워 1층 105호, 106호"
이디야커피 미아삼거리역점,서울 강북구 도봉로10길 28
이디야커피 선덕고사거리점,"서울 도봉구 해등로 255 에벤에셀아파트 101동 209, 225호"
이디야커피 국민대점,서울 성북구 정릉로9라길 8
이디야커피 석촌역점,서울 송파구 송파대로 456
